"Read Details","قراءة التفاصيل",module,Magento_AdminNotification
"Mark as Read","تعيين كمقروء",module,Magento_AdminNotification
"Are you sure?","هل أنت متأكد؟",module,Magento_AdminNotification
Remove,ازالة,module,Magento_AdminNotification
"Messages Inbox","رسائل علبة الوارد",module,Magento_AdminNotification
"You have %1 new system messages","لديك %1 من رسائل النظام الجديدة",module,Magento_AdminNotification
"You have %1 new system message","لديك %1 رسالة نظام جديدة",module,Magento_AdminNotification
"Incoming Message","رسالة واردة",module,Magento_AdminNotification
close,إغلاق,module,Magento_AdminNotification
Notifications,اشعارات,module,Magento_AdminNotification
"The message has been marked as Read.","تم وضع علامة مقروءة على الرسالة.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","بسبب خطأ ما لم يتم وضع علامة قراءة الاشعار.",module,Magento_AdminNotification
"Please select messages.","الرجاء تحديد الرسائل.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","لقد تم وضع علامة مقروء على %1 من المحفوظات.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","لقد تم ازالة 1% من المحفوظات.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","لم يتم ازالة الرسائل بسبب حدوث خطأ.",module,Magento_AdminNotification
"The message has been removed.","تم حذف الرسالة.",module,Magento_AdminNotification
"1 Hour","ساعة واحدة",module,Magento_AdminNotification
"2 Hours",ساعتان,module,Magento_AdminNotification
"6 Hours","6 ساعات",module,Magento_AdminNotification
"12 Hours","12 ساعة",module,Magento_AdminNotification
"24 Hours","24 ساعة",module,Magento_AdminNotification
critical,حرج,module,Magento_AdminNotification
major,مهم,module,Magento_AdminNotification
minor,ثانوي,module,Magento_AdminNotification
notice,إشعار,module,Magento_AdminNotification
"Wrong message type","نوع رسالة خاطئ",module,Magento_AdminNotification
"Wrong notification ID specified.","معرف الإشعار المحدد خاطئ.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","لا ينصح باستخدام {{base_url}} في بيئة الإنتاج لتوضيح Unsecure ' 'URL / Base Secure URL. نوصي بشدة بتغيير هذه القيمة في ماجنتو الخاص بك ' '<a href=""%1"">configuration</a>.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","الرجاء الانتقال إلى <a href=""%1""> إدارة ذاكرة التخزين المؤقت</a> واعدة تنشيطها.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","لم نستطع موافقة واحد أو أكثر من ملفات الوسائط. الرجاء الرجوع إلى ملف السجل للحصول على التفاصيل.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","اكتملت مواففة وسائط التخزين.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","قاعدة بيانات الأنترنت الخاصة بك معدة بشكل غير صحيح، وتسمح بدخول غير المصرح به إلى الملفات الحساسة. الرجاء الاتصال بموفر خدمة الاستضافة.",module,Magento_AdminNotification
"System Messages:","رسائل النظام:",module,Magento_AdminNotification
"Critical System Messages","رسائل النظام خطيرة",module,Magento_AdminNotification
"Major System Messages","رسائل النظام مهمة",module,Magento_AdminNotification
"System messages","رسائل النظام",module,Magento_AdminNotification
Close,غلق,module,Magento_AdminNotification
"See All (","انظر (جميع",module,Magento_AdminNotification
"Please correct the data sent.","الرجاء تصحيح البيانات التي تم إرسالها.",module,Magento_AdvancedPricingImportExport
"Entity type model '%1' is not found","نموذج الكيان '%1' غير موجود",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","لا تتوفر أي من أنواع المنتجات للتصدير",module,Magento_AdvancedPricingImportExport
"We can't find the role for the user you wanted.","لا يمكننا الوصول للمستخدم الذي طلبته",module,Magento_Authorization
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","حدث خطأ أثناء تجميع قائمة من الموارد المسموح بها. يمكنك العثور على مزيد من المعلومات في سجل الاستثناءات.",module,Magento_Authorization
"You created the order.","قمت بإنشاء الطلب.",module,Magento_Authorizenet
"Order saving error: %1","أمر حفظ الخطأ: %1",module,Magento_Authorizenet
"Please choose a payment method.","الرجاء اختيار طريقة الدفع.",module,Magento_Authorizenet
"We can't process your order right now. Please try again later.","لا يمكننا معالجة طلبك الآن. الرجاء المحاولة مرة أخرى لاحقاً.",module,Magento_Authorizenet
"An error occurred on the server. Please try to place the order again.","حدث خطأ في الخادوم. الرجاء محاولة وضع الطلب مرة أخرى.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","كارت ائتماني: xxxx-%1",module,Magento_Authorizenet
"amount %1","%1 كمية",module,Magento_Authorizenet
failed.,فشل.,module,Magento_Authorizenet
successful.,"تم بنجاح.",module,Magento_Authorizenet
"Authorize.Net Transaction ID %1.","رقم معاملة Authorize.Net %1.",module,Magento_Authorizenet
authorize,التصريح,module,Magento_Authorizenet
"authorize and capture","التحقق و القبض",module,Magento_Authorizenet
capture,التقاط,module,Magento_Authorizenet
refund,"اعادة المبلغ المدفوع",module,Magento_Authorizenet
void,الفراغ,module,Magento_Authorizenet
"Gateway error: %1","خطأ في البوابة: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","حدث خطأ في بوابة الدفع.",module,Magento_Authorizenet
"Invalid amount for capture.","المبلغ غير صالح للقبض.",module,Magento_Authorizenet
"Payment capturing error.","خطأ في قبض الدفعة.",module,Magento_Authorizenet
"Invalid transaction ID.","رمز تعريف عملية الدفع غير موجود.",module,Magento_Authorizenet
"Payment voiding error.","خطأ في الغاء الدفعة.",module,Magento_Authorizenet
"Invalid amount for refund.","المبلغ غير قابل لاسترداده.",module,Magento_Authorizenet
"Payment refunding error.","خطأ في استرداد المبلغ.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","تم رفض عملية الدفع نظراً لفشل التحقق من تجزئة الاستجابة.",module,Magento_Authorizenet
"This payment didn't work out because we can't find this order.","عملية الدفع لم تنجح لاننا لم نستطع ايجاد هذا الطلب.",module,Magento_Authorizenet
"There was a payment authorization error.","خطأ في إذن الدفع.",module,Magento_Authorizenet
"Please enter a transaction ID to authorize this payment.","الرجاء إدخال رمز التعريف الخاص بعملية الدفع للسماح باتمام العملية.",module,Magento_Authorizenet
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","حدث خطأ: المبلغ المدفوع لا يتطابق مع كمية الطلبية. الرجاء تصحيح هذه المشكلة ثم حاول مرة أخرى.",module,Magento_Authorizenet
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","تم الموافقة على العملية  %1.القيمة %2. حالة العملية هي ""%3""",module,Magento_Authorizenet
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","تم رفض العملية %1.الحالة هي ""%2"".القيمة هي %3.",module,Magento_Authorizenet
"Authorize Only","المصرح فقط",module,Magento_Authorizenet
"Authorize and Capture","التحقق و القبض",module,Magento_Authorizenet
"Unable to get transaction details. Try again later.","غير قادر على الحصول على تفاصيل الصفقة. حاول مرة أخرى لاحقاً.",module,Magento_Authorizenet
"Electronic payments save the trees.","المدفوعات الإلكترونية صديقة للبيئة.",module,Magento_Authorizenet
"Credit Card Type","نوع بطاقة الائتمان",module,Magento_Authorizenet
"Please Select","أختر من فضلك",module,Magento_Authorizenet
"Credit Card Number","رقم بطاقة الائتمان",module,Magento_Authorizenet
"Expiration Date","تاريخ الانتهاء",module,Magento_Authorizenet
"Card Verification Number","رقم التحقق من البطاقة",module,Magento_Authorizenet
"FDS Filter Action","إجراء تصفية FDS",module,Magento_Authorizenet
"AVS Response","رد AVS",module,Magento_Authorizenet
"Card Code Response","استجابة شفرة البطاقة",module,Magento_Authorizenet
"CAVV Response","استجابة CAVV",module,Magento_Authorizenet
"Fraud Filters","مانع الاحتيال.",module,Magento_Authorizenet
"Invalid Form Key. Please refresh the page.","مفتاح النموذج غير صالح. الرجاء اعادة تنشيط الصفحة.",module,Magento_Backend
"You entered an invalid Secret Key. Please refresh the page.","قمت بإدخال ""مفتاح سر"" غيرصالح. الرجاء تحديث الصفحة.",module,Magento_Backend
"Cache Storage Management","إدارة التخزين المؤقت",module,Magento_Backend
"Flush Magento Cache","مسح ذاكرة التخزين المؤقت لماجنتو",module,Magento_Backend
"The cache storage may contain additional data. Are you sure that you want to flush it?","ذاكرة التخزين المؤقت قد تحتوي على بيانات إضافية. هل أنت متأكد من أنك تريد مسحها؟",module,Magento_Backend
"Flush Cache Storage","مسح ذاكرة التخزين المؤقت",module,Magento_Backend
Invalidated,"إلغاء الصلاحية",module,Magento_Backend
Orders,"طلبات الشراء",module,Magento_Backend
Amounts,المبالغ,module,Magento_Backend
Bestsellers,"الأكثر مبيعاً",module,Magento_Backend
"Most Viewed Products","المنتجات الأكثر مشاهدة",module,Magento_Backend
"New Customers","عضو جديد",module,Magento_Backend
Customers,العملاء,module,Magento_Backend
Customer,العميل,module,Magento_Backend
Guest,زائر,module,Magento_Backend
Items,المنتجات,module,Magento_Backend
Total,الإجمالي,module,Magento_Backend
"Lifetime Sales","مبيعات مدى الحياة",module,Magento_Backend
"Average Order","متوسط الطلبات",module,Magento_Backend
Average,المتوسط,module,Magento_Backend
Product,المنتج,module,Magento_Backend
Price,السعر,module,Magento_Backend
Quantity,الكمية,module,Magento_Backend
Views,"عدد المشاهدات",module,Magento_Backend
Revenue,الإيرادات,module,Magento_Backend
Tax,الضريبة,module,Magento_Backend
Shipping,الشحن,module,Magento_Backend
"Images (.gif, .jpg, .png)","الصور (.gif,.jpg,.png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","الوسائط (.avi, .flv, .swf)",module,Magento_Backend
"All Files","كل الملفات",module,Magento_Backend
"Reset to Default","إعادة ضبط للإعدادات الإفتراضية",module,Magento_Backend
"All Store Views","واجهه جميع المواقع",module,Magento_Backend
"What is this?","ما هذا؟",module,Magento_Backend
"Save Account","حفظ الحساب",module,Magento_Backend
"My Account",حسابي,module,Magento_Backend
